,ISO_3,Years,HDI,Biocapacity_Deficit_or_Reserve,Earths_Required,Countries_Required
0,AFG,2016,0.46,-0.3,0.46,1.6
1,ALB,2016,0.73,-1.03,1.27,1.87
2,DZA,2016,0.73,-1.53,1.22,3.61
3,AGO,2016,0.52,1.61,0.54,0.37
4,ATG,2016,0.78,-4.44,3.11,5.7
5,ARG,2016,0.83,3.78,1.82,0.45
6,ARM,2016,0.73,-1.35,1.29,2.52
7,ABW,2016,,-11.31,6.86,20.69
8,AUS,2016,0.93,7.26,5.37,0.56
9,AUT,2016,0.88,-3.0,3.5,1.98
10,AZE,2016,0.75,-1.46,1.33,2.72
11,BHS,2016,0.78,2.71,3.95,0.72
12,BHR,2016,0.82,-6.91,4.33,12.96
13,BGD,2016,0.56,-0.35,0.42,1.92
14,BRB,2016,0.79,-4.29,2.58,23.79
15,BLR,2016,0.8,-1.45,2.94,1.4
16,BEL,2016,0.89,-6.25,4.3,6.27
17,BEN,2016,0.48,-0.53,0.81,1.61
18,BMU,2016,,-5.64,3.33,44.05
19,BTN,2016,0.59,0.43,2.8,0.92
20,BOL,2016,0.65,13.77,1.71,0.18
21,BIH,2016,0.73,-1.49,1.8,1.91
22,BWA,2016,0.69,-0.35,2.21,1.1
23,BRA,2016,0.75,5.97,1.8,0.34
24,BRN,2016,0.85,-1.19,2.34,1.41
25,BGR,2016,0.78,-0.46,1.92,1.16
26,BFA,2016,0.39,-0.22,0.7,1.23
27,BDI,2016,0.39,-0.48,0.46,2.48
28,CPV,2016,0.64,-1.9,1.46,4.06
29,KHM,2016,0.55,-0.11,0.7,1.11
30,CMR,2016,0.5,0.52,0.68,0.69
31,CAN,2016,0.91,7.83,4.72,0.51
32,CYM,2016,,-5.33,3.26,17.91
33,CAF,2016,0.37,6.62,0.72,0.16
34,TCD,2016,0.39,0.57,0.84,0.72
35,CHL,2016,0.83,-0.73,2.52,1.2
36,CHN,2016,0.72,-2.44,1.95,3.59
37,COL,2016,0.72,1.72,1.08,0.52
38,COM,2016,0.5,-0.7,0.59,3.17
39,COG,2016,0.57,9.63,0.74,0.12
40,COD,2016,0.42,2.25,0.47,0.27
41,CRI,2016,0.76,-1.31,1.64,1.86
42,HRV,2016,0.82,-1.12,2.27,1.4
43,CUB,2016,0.77,-1.19,1.13,2.56
44,CYP,2016,0.85,-3.87,2.43,12.35
45,CZE,2016,0.87,-2.73,3.0,2.11
46,CIV,2016,,0.51,0.74,0.72
47,DNK,2016,0.92,-0.73,3.18,1.15
48,DJI,2016,0.46,-1.42,1.27,2.84
49,DMA,2016,0.72,-1.54,1.49,2.49
50,DOM,2016,0.71,-0.97,0.88,2.74
51,ECU,2016,0.73,0.03,1.25,0.99
52,EGY,2016,0.69,-1.59,1.24,3.86
53,SLV,2016,0.66,-1.46,1.2,3.37
54,GNQ,2016,0.58,0.44,2.29,0.9
55,ERI,2016,0.39,0.88,0.24,0.32
56,EST,2016,0.85,3.67,3.96,0.65
57,ETH,2016,0.43,-0.44,0.59,1.75
58,FJI,2016,0.72,-0.52,1.67,1.22
59,FIN,2016,0.88,7.57,3.39,0.44
60,FRA,2016,0.89,-2.04,2.97,1.66
61,GUF,2016,,109.01,1.35,0.02
62,PYF,2016,,-3.36,2.73,3.45
63,GAB,2016,0.67,24.29,1.16,0.08
64,GMB,2016,0.44,-0.21,0.6,1.25
65,GEO,2016,0.75,-0.41,0.91,1.35
66,DEU,2016,0.91,-3.02,3.06,2.33
67,GHA,2016,0.57,-0.62,1.14,1.46
68,GRC,2016,0.86,-2.77,2.53,2.73
69,GRD,2016,0.74,-1.01,1.72,1.52
70,GLP,2016,,-2.77,1.86,7.14
71,GTM,2016,0.62,-0.9,1.09,1.91
72,GIN,2016,0.41,0.68,0.81,0.67
73,GNB,2016,0.42,1.49,0.89,0.51
74,GUY,2016,0.63,63.51,1.77,0.05
75,HTI,2016,0.48,-0.34,0.35,2.28
76,HND,2016,0.61,0.09,0.97,0.95
77,HUN,2016,0.82,-0.75,1.69,1.34
78,IND,2016,0.6,-0.71,0.67,2.55
79,IDN,2016,0.68,-0.32,0.91,1.25
80,IRN,2016,0.76,-1.89,1.61,3.1
81,IRQ,2016,0.65,-1.59,1.09,6.58
82,IRL,2016,0.91,-1.83,3.21,1.49
83,ISR,2016,0.89,-5.87,3.59,17.59
84,ITA,2016,0.87,-3.53,2.66,4.28
85,JAM,2016,0.72,-1.46,1.09,4.39
86,JPN,2016,0.89,-4.3,2.9,7.01
87,JOR,2016,0.75,-1.89,1.21,9.91
88,KAZ,2016,0.78,-2.14,3.2,1.63
89,KEN,2016,0.54,-0.52,0.6,2.02
90,PRK,2016,,-0.57,0.67,1.94
91,KOR,2016,0.89,-5.01,3.29,8.36
92,KWT,2016,0.82,-7.58,4.7,14.68
93,KGZ,2016,0.65,-0.61,1.1,1.47
94,LAO,2016,0.56,0.4,0.7,0.75
95,LVA,2016,0.81,3.26,3.63,0.66
96,LBN,2016,0.76,-3.51,2.22,11.7
97,LSO,2016,0.48,-0.87,0.96,2.11
98,LBR,2016,0.42,1.35,0.7,0.47
99,LBY,2016,0.74,-3.0,2.13,5.3
100,LTU,2016,0.83,-0.17,3.37,1.03
101,LUX,2016,0.89,-14.14,9.14,9.44
102,MKD,2016,0.74,-1.75,1.88,2.16
103,MDG,2016,0.51,1.64,0.57,0.38
104,MWI,2016,0.43,-0.15,0.47,1.22
105,MYS,2016,0.77,-1.3,2.14,1.54
106,MLI,2016,0.41,0.05,0.88,0.97
107,MTQ,2016,,-1.7,1.2,5.41
108,MRT,2016,0.5,1.93,1.47,0.57
109,MUS,2016,0.77,-2.75,2.0,4.89
110,MEX,2016,0.75,-1.62,1.67,2.27
111,MDA,2016,0.68,-0.98,1.03,2.23
112,MNG,2016,0.71,9.58,3.51,0.39
113,MNE,2016,0.8,-0.54,2.19,1.17
114,MSR,2016,,-6.42,4.49,5.71
115,MAR,2016,0.62,-0.96,0.97,2.35
116,MOZ,2016,0.41,1.19,0.5,0.42
117,MMR,2016,0.53,0.41,0.83,0.78
118,NAM,2016,0.62,4.4,1.43,0.36
119,NPL,2016,0.54,-0.38,0.56,1.65
120,NLD,2016,0.92,-4.11,3.05,4.53
121,NZL,2016,0.91,4.54,3.23,0.55
122,NIC,2016,0.63,0.87,0.8,0.62
123,NER,2016,0.34,-0.32,0.9,1.26
124,NGA,2016,0.5,-0.47,0.67,1.67
125,NOR,2016,0.94,3.19,2.88,0.61
126,OMN,2016,0.79,-5.6,4.34,3.93
127,PAK,2016,0.53,-0.44,0.46,2.28
128,PAN,2016,0.77,0.15,1.61,0.95
129,PNG,2016,0.5,2.01,1.1,0.49
130,PRY,2016,0.67,6.36,2.4,0.4
131,PER,2016,0.73,1.69,1.32,0.57
132,PHL,2016,0.66,-0.56,0.64,2.03
133,POL,2016,0.84,-2.36,2.57,2.14
134,PRT,2016,0.83,-2.37,2.24,2.57
135,QAT,2016,0.85,-9.56,6.24,8.72
136,ROU,2016,0.79,-0.39,1.56,1.17
137,RUS,2016,0.79,1.1,3.29,0.84
138,RWA,2016,0.48,-0.32,0.5,1.6
139,REU,2016,,-3.47,2.11,20.18
140,LCA,2016,0.73,-2.1,1.41,7.12
141,WSM,2016,0.7,-0.85,1.6,1.44
142,STP,2016,0.55,-0.61,0.86,1.7
143,SAU,2016,0.83,-5.12,3.24,11.28
144,SEN,2016,0.46,-0.16,0.7,1.16
145,SRB,2016,0.76,-1.44,1.56,2.15
146,SLE,2016,0.4,0.0,0.71,1.0
147,SGP,2016,0.91,-7.92,4.61,159.47
148,SVK,2016,0.84,-1.35,2.35,1.5
149,SVN,2016,0.88,-3.47,3.36,2.48
150,SOM,2016,,0.03,0.71,0.98
151,ZAF,2016,0.66,-2.16,1.91,2.87
152,ESP,2016,0.87,-2.42,2.12,2.94
153,LKA,2016,0.75,-0.88,0.77,3.01
154,SUR,2016,0.71,85.08,2.46,0.05
155,SWZ,2016,0.53,-1.14,1.16,2.3
156,SWE,2016,0.9,3.38,4.19,0.68
157,CHE,2016,0.93,-4.48,3.34,4.44
158,SYR,2016,0.62,-0.91,0.87,2.5
159,TJK,2016,0.62,-0.38,0.52,1.71
160,TZA,2016,0.51,-0.24,0.76,1.23
161,THA,2016,0.72,-1.42,1.54,2.14
162,TLS,2016,0.6,1.3,0.28,0.27
163,TGO,2016,0.47,-0.6,0.65,2.13
164,TON,2016,0.72,-1.22,1.56,1.82
165,TTO,2016,0.77,-6.36,4.57,5.07
166,TUN,2016,0.72,-1.4,1.35,2.51
167,TUR,2016,0.76,-1.81,1.92,2.19
168,TKM,2016,0.68,-2.68,3.16,1.96
169,UGA,2016,0.48,-0.66,0.72,2.12
170,UKR,2016,0.74,-0.58,1.64,1.25
171,ARE,2016,0.83,-7.37,4.58,14.160714285714299
172,GBR,2016,0.9,-3.62,2.85,3.76
173,USA,2016,0.91,-4.46,4.75,2.19
174,URY,2016,0.79,7.41,1.68,0.28
175,UZB,2016,0.67,-1.4,1.34,2.52
176,VEN,2016,0.763846,-0.79,2.06,1.28
177,VNM,2016,0.66,-0.65,0.95,1.66
178,YEM,2016,0.5,-0.53,0.59,2.06
179,ZMB,2016,0.58,1.24,0.57,0.44
180,ZWE,2016,0.49,-0.75,0.79,2.2
